Station,MHHW,MHHW_2018
8727520,0.54,0.58
8720220,0.76,0.82
8725520,0.21,0.27
8723170,0.4,0.45
8726520,0.32,0.38
8729840,0.19,0.25
8726724,0.38,0.44
8720030,0.99,1.05
8670870,1.12,1.2
8735180,0.2,0.27
8761724,0.16,0.19
8419870,1.34,1.39
8447930,0.37,0.44
8443970,1.55,1.61
8449130,0.55,0.62
8656483,0.56,0.7
8658120,0.68,0.79
8638660,0.48,0.58
8638863,0.45,0.61
8661070,0.88,0.98
8536110,0.88,0.98
8531680,0.81,0.91
8534720,0.73,0.83
8510560,0.39,0.46
8514560,1.11,1.17
8516990,1.19,1.25
8452660,0.64,0.71
8461490,0.46,0.52
8665530,0.87,0.95
8774770,0.05,0.12
8779750,0.18,0.27
8778490,0,0
8771450,0.18,0.3
8772440,0.25,0.32
8632200,0.46,0.55
8557380,0.74,0.82
