Station_Number,Station_Name,Location_meters,Location_CI,Scale_meters,Scale_CI,Shape_meters,Shape_CI
1611400,Nawiliwili,0.258,0.017,0.062,0.011,0.028,0.082
1612340,Honolulu,0.255,0.012,0.056,0.008,-0.182,0.112
1612480,Mokuoloe,0.293,0.016,0.051,0.011,-0.174,0.174
1615680,Kahului,0.28,0.014,0.048,0.01,-0.186,0.174
1617760,Hilo,0.301,0.016,0.06,0.012,-0.298,0.162
1619000,Johnston Atoll,0.35,0.024,0.082,0.017,0.007,0.146
1619910,Midway Atoll,0.366,0.031,0.114,0.021,-0.05,0.146
1630000,Guam,0.233,0.018,0.066,0.012,-0.022,0.115
1770000,Pago Pago,0.284,0.018,0.066,0.011,-0.278,0.091
1820000,Kwajalein,0.448,0.014,0.053,0.009,-0.272,0.115
1840000,Chuuk,0.246,0.021,0.064,0.015,-0.026,0.142
1890000,Wake Island,0.322,0.02,0.071,0.015,0.222,0.163
2695540,Bermuda,0.367,0.021,0.078,0.015,0.005,0.179
8410140,Eastport,1.044,0.023,0.094,0.016,0,0.139
8413320,Bar Harbor,0.754,0.026,0.092,0.019,-0.008,0.189
8418150,Portland,0.714,0.023,0.103,0.017,0.038,0.159
8419870,Seavey Island,0.637,0.037,0.12,0.027,-0.035,0.231
8443970,Boston,0.764,0.031,0.133,0.023,0.019,0.156
8447930,Woods Hole,0.565,0.04,0.161,0.032,0.24,0.157
8449130,Nantucket Island,0.504,0.041,0.125,0.03,0.052,0.21
8452660,Newport,0.582,0.032,0.131,0.027,0.29,0.17
8454000,Providence,0.72,0.054,0.19,0.046,0.323,0.23
8461490,New London,0.618,0.048,0.188,0.037,0.158,0.158
8467150,Bridgeport,0.704,0.052,0.16,0.037,-0.037,0.198
8510560,Montauk,0.608,0.048,0.173,0.037,0.118,0.19
8514560,Port Jefferson,0.683,0.097,0.216,0.079,0.022,0.517
8516990,Kings Point / Willets Point,0.848,0.063,0.236,0.051,0.224,0.24
8518750,The Battery,0.676,0.03,0.149,0.022,0.058,0.124
8531680,Sandy Hook,0.706,0.039,0.157,0.03,0.142,0.175
8534720,Atlantic City,0.674,0.031,0.137,0.023,0.097,0.162
8536110,Cape May,0.638,0.043,0.13,0.031,-0.138,0.222
8545240,Philadelphia,0.589,0.033,0.158,0.023,-0.038,0.125
8557380,Lewes,0.669,0.036,0.136,0.027,0.079,0.195
8571892,Cambridge,0.503,0.029,0.089,0.024,0.187,0.279
8574680,Baltimore,0.533,0.028,0.132,0.023,0.264,0.143
